week_start,trading_day,date,partial_model
2008-10-21,1.0,2008-10-21,N/A
2008-10-21,2.0,2008-10-22,Downside
2008-10-21,3.0,2008-10-23,Outside
2008-10-21,4.0,2008-10-21,Downside
2008-10-21,5.0,2008-10-21,Outside
2008-10-28,1.0,2008-10-28,N/A
2008-10-28,2.0,2008-10-29,Upside
2008-10-28,3.0,2008-10-30,Downside
2008-10-28,4.0,2008-10-28,Upside
2008-10-28,5.0,2008-10-28,Outside
2008-11-04,1.0,2008-11-04,N/A
2008-11-04,2.0,2008-11-05,Downside
2008-11-04,3.0,2008-11-06,Downside
2008-11-04,4.0,2008-11-04,Outside
2008-11-04,5.0,2008-11-04,Downside
2008-11-11,1.0,2008-11-11,N/A
2008-11-11,2.0,2008-11-12,Downside
2008-11-11,3.0,2008-11-13,Outside
2008-11-11,4.0,2008-11-11,Downside
2008-11-11,5.0,2008-11-11,Outside
2008-11-18,1.0,2008-11-18,N/A
2008-11-18,2.0,2008-11-19,Outside
2008-11-18,3.0,2008-11-20,Downside
2008-11-18,4.0,2008-11-18,Downside
2008-11-18,5.0,2008-11-18,Downside
2008-11-25,1.0,2008-11-25,N/A
2008-11-25,2.0,2008-11-26,Outside
2008-11-25,3.0,2008-11-27,Outside
2008-11-25,4.0,2008-11-25,Outside
2008-11-25,5.0,2008-11-25,Undefined
2008-12-02,1.0,2008-12-02,N/A
2008-12-02,2.0,2008-12-03,Outside
2008-12-02,3.0,2008-12-04,Outside
2008-12-02,4.0,2008-12-02,Downside
2008-12-02,5.0,2008-12-02,Undefined
2008-12-09,1.0,2008-12-09,N/A
2008-12-09,2.0,2008-12-10,Outside
2008-12-09,3.0,2008-12-11,Upside
2008-12-09,4.0,2008-12-09,Upside
2008-12-09,5.0,2008-12-09,Undefined
2008-12-16,1.0,2008-12-16,N/A
2008-12-16,2.0,2008-12-17,Downside
2008-12-16,3.0,2008-12-18,Downside
2008-12-16,4.0,2008-12-16,Downside
2008-12-16,5.0,2008-12-16,Downside
2008-12-23,1.0,2008-12-23,N/A
2008-12-23,2.0,2008-12-24,Downside
2008-12-23,3.0,2008-12-25,Undefined
2008-12-23,4.0,2008-12-23,Outside
2008-12-23,5.0,2008-12-23,Undefined
2008-12-30,1.0,2008-12-30,N/A
2008-12-30,2.0,2008-12-31,Upside
2008-12-30,3.0,2009-01-01,Undefined
2008-12-30,4.0,2008-12-30,Outside
2008-12-30,5.0,2008-12-30,Upside
2009-01-06,1.0,2009-01-06,N/A
2009-01-06,2.0,2009-01-07,Downside
2009-01-06,3.0,2009-01-08,Downside
2009-01-06,4.0,2009-01-06,Downside
2009-01-06,5.0,2009-01-06,Undefined
2009-01-13,1.0,2009-01-13,N/A
2009-01-13,2.0,2009-01-14,Downside
2009-01-13,3.0,2009-01-15,Downside
2009-01-13,4.0,2009-01-13,Upside
2009-01-13,5.0,2009-01-13,Outside
2009-01-20,1.0,2009-01-20,N/A
2009-01-20,2.0,2009-01-21,Upside
2009-01-20,3.0,2009-01-22,Downside
2009-01-20,4.0,2009-01-20,Upside
2009-01-20,5.0,2009-01-20,Undefined
2009-01-27,1.0,2009-01-27,N/A
2009-01-27,2.0,2009-01-28,Outside
2009-01-27,3.0,2009-01-29,Upside
2009-01-27,4.0,2009-01-27,Downside
2009-01-27,5.0,2009-01-27,Undefined
2009-02-03,1.0,2009-02-03,N/A
2009-02-03,2.0,2009-02-04,Downside
2009-02-03,3.0,2009-02-05,Outside
2009-02-03,4.0,2009-02-03,Outside
2009-02-03,5.0,2009-02-03,Outside
2009-02-10,1.0,2009-02-10,N/A
2009-02-10,2.0,2009-02-11,Outside
2009-02-10,3.0,2009-02-12,Upside
2009-02-10,4.0,2009-02-10,Upside
2009-02-10,5.0,2009-02-10,Undefined
2009-02-17,1.0,2009-02-17,N/A
2009-02-17,2.0,2009-02-18,Undefined
2009-02-17,3.0,2009-02-19,Outside
2009-02-17,4.0,2009-02-17,Downside
2009-02-17,5.0,2009-02-17,Outside
2009-02-24,1.0,2009-02-24,N/A
2009-02-24,2.0,2009-02-25,Outside
2009-02-24,3.0,2009-02-26,Upside
2009-02-24,4.0,2009-02-24,Upside
2009-02-24,5.0,2009-02-24,Undefined
2009-03-03,1.0,2009-03-03,N/A
2009-03-03,2.0,2009-03-04,Upside
2009-03-03,3.0,2009-03-05,Downside
2009-03-03,4.0,2009-03-03,Upside
2009-03-03,5.0,2009-03-03,Outside
2009-03-10,1.0,2009-03-10,N/A
2009-03-10,2.0,2009-03-11,Downside
2009-03-10,3.0,2009-03-12,Upside
2009-03-10,4.0,2009-03-10,Downside
2009-03-10,5.0,2009-03-10,Outside
2009-03-17,1.0,2009-03-17,N/A
2009-03-17,2.0,2009-03-18,Outside
2009-03-17,3.0,2009-03-19,Inside
2009-03-17,4.0,2009-03-17,Upside
2009-03-17,5.0,2009-03-17,Undefined
2009-03-24,1.0,2009-03-24,N/A
2009-03-24,2.0,2009-03-25,Outside
2009-03-24,3.0,2009-03-26,Downside
2009-03-24,4.0,2009-03-24,Outside
2009-03-24,5.0,2009-03-24,Undefined
2009-03-31,1.0,2009-03-31,N/A
2009-03-31,2.0,2009-04-01,Undefined
2009-03-31,3.0,2009-04-02,Upside
2009-03-31,4.0,2009-03-31,Outside
2009-03-31,5.0,2009-03-31,Upside
2009-04-07,1.0,2009-04-07,N/A
2009-04-07,2.0,2009-04-08,Upside
2009-04-07,3.0,2009-04-09,Inside
2009-04-07,4.0,2009-04-07,Outside
2009-04-07,5.0,2009-04-07,Upside
2009-04-14,1.0,2009-04-14,N/A
2009-04-14,2.0,2009-04-15,Downside
2009-04-14,3.0,2009-04-16,Inside
2009-04-14,4.0,2009-04-14,Downside
2009-04-14,5.0,2009-04-14,Undefined
2009-04-21,1.0,2009-04-21,N/A
2009-04-21,2.0,2009-04-22,Upside
2009-04-21,3.0,2009-04-23,Outside
2009-04-21,4.0,2009-04-21,Undefined
2009-04-21,5.0,2009-04-21,Upside
2009-04-28,1.0,2009-04-28,N/A
2009-04-28,2.0,2009-04-29,Upside
2009-04-28,3.0,2009-04-30,Inside
2009-04-28,4.0,2009-04-28,Upside
2009-04-28,5.0,2009-04-28,Undefined
2009-05-05,1.0,2009-05-05,N/A
2009-05-05,2.0,2009-05-06,Upside
2009-05-05,3.0,2009-05-07,Outside
2009-05-05,4.0,2009-05-05,Upside
2009-05-05,5.0,2009-05-05,Undefined
2009-05-12,1.0,2009-05-12,N/A
2009-05-12,2.0,2009-05-13,Outside
2009-05-12,3.0,2009-05-14,Upside
2009-05-12,4.0,2009-05-12,Downside
2009-05-12,5.0,2009-05-12,Undefined
2009-05-19,1.0,2009-05-19,N/A
2009-05-19,2.0,2009-05-20,Upside
2009-05-19,3.0,2009-05-21,Outside
2009-05-19,4.0,2009-05-19,Upside
2009-05-19,5.0,2009-05-19,Upside
2009-05-26,1.0,2009-05-26,N/A
2009-05-26,2.0,2009-05-27,Outside
2009-05-26,3.0,2009-05-28,Upside
2009-05-26,4.0,2009-05-26,Upside
2009-05-26,5.0,2009-05-26,Undefined
2009-06-02,1.0,2009-06-02,N/A
2009-06-02,2.0,2009-06-03,Downside
2009-06-02,3.0,2009-06-04,Upside
2009-06-02,4.0,2009-06-02,Outside
2009-06-02,5.0,2009-06-02,Outside
2009-06-09,1.0,2009-06-09,N/A
2009-06-09,2.0,2009-06-10,Outside
2009-06-09,3.0,2009-06-11,Outside
2009-06-09,4.0,2009-06-09,Upside
2009-06-09,5.0,2009-06-09,Outside
2009-06-16,1.0,2009-06-16,N/A
2009-06-16,2.0,2009-06-17,Outside
2009-06-16,3.0,2009-06-18,Outside
2009-06-16,4.0,2009-06-16,Downside
2009-06-16,5.0,2009-06-16,Downside
2009-06-23,1.0,2009-06-23,N/A
2009-06-23,2.0,2009-06-24,Outside
2009-06-23,3.0,2009-06-25,Upside
2009-06-23,4.0,2009-06-23,Upside
2009-06-23,5.0,2009-06-23,Outside
2009-06-30,1.0,2009-06-30,N/A
2009-06-30,2.0,2009-07-01,Downside
2009-06-30,3.0,2009-07-02,Downside
2009-06-30,4.0,2009-06-30,Downside
2009-06-30,5.0,2009-06-30,Outside
2009-07-07,1.0,2009-07-07,N/A
2009-07-07,2.0,2009-07-08,Downside
2009-07-07,3.0,2009-07-09,Downside
2009-07-07,4.0,2009-07-07,Downside
2009-07-07,5.0,2009-07-07,Undefined
2009-07-14,1.0,2009-07-14,N/A
2009-07-14,2.0,2009-07-15,Upside
2009-07-14,3.0,2009-07-16,Upside
2009-07-14,4.0,2009-07-14,Upside
2009-07-14,5.0,2009-07-14,Outside
2009-07-21,1.0,2009-07-21,N/A
2009-07-21,2.0,2009-07-22,Outside
2009-07-21,3.0,2009-07-23,Upside
2009-07-21,4.0,2009-07-21,Outside
2009-07-21,5.0,2009-07-21,Outside
2009-07-28,1.0,2009-07-28,N/A
2009-07-28,2.0,2009-07-29,Downside
2009-07-28,3.0,2009-07-30,Outside
2009-07-28,4.0,2009-07-28,Outside
2009-07-28,5.0,2009-07-28,Upside
2009-08-04,1.0,2009-08-04,N/A
2009-08-04,2.0,2009-08-05,Outside
2009-08-04,3.0,2009-08-06,Outside
2009-08-04,4.0,2009-08-04,Outside
2009-08-04,5.0,2009-08-04,Undefined
2009-08-11,1.0,2009-08-11,N/A
2009-08-11,2.0,2009-08-12,Upside
2009-08-11,3.0,2009-08-13,Outside
2009-08-11,4.0,2009-08-11,Outside
2009-08-11,5.0,2009-08-11,Undefined
2009-08-18,1.0,2009-08-18,N/A
2009-08-18,2.0,2009-08-19,Upside
2009-08-18,3.0,2009-08-20,Outside
2009-08-18,4.0,2009-08-18,Upside
2009-08-18,5.0,2009-08-18,Upside
2009-08-25,1.0,2009-08-25,N/A
2009-08-25,2.0,2009-08-26,Downside
2009-08-25,3.0,2009-08-27,Outside
2009-08-25,4.0,2009-08-25,Downside
2009-08-25,5.0,2009-08-25,Downside
2009-09-01,1.0,2009-09-01,N/A
2009-09-01,2.0,2009-09-02,Outside
2009-09-01,3.0,2009-09-03,Downside
2009-09-01,4.0,2009-09-01,Downside
2009-09-01,5.0,2009-09-01,Outside
2009-09-08,1.0,2009-09-08,N/A
2009-09-08,2.0,2009-09-09,Upside
2009-09-08,3.0,2009-09-10,Downside
2009-09-08,4.0,2009-09-08,Outside
2009-09-08,5.0,2009-09-08,Downside
2009-09-15,1.0,2009-09-15,N/A
2009-09-15,2.0,2009-09-16,Upside
2009-09-15,3.0,2009-09-17,Outside
2009-09-15,4.0,2009-09-15,Upside
2009-09-15,5.0,2009-09-15,Outside
2009-09-22,1.0,2009-09-22,N/A
2009-09-22,2.0,2009-09-23,Downside
2009-09-22,3.0,2009-09-24,Downside
2009-09-22,4.0,2009-09-22,Downside
2009-09-22,5.0,2009-09-22,Downside
2009-09-29,1.0,2009-09-29,N/A
2009-09-29,2.0,2009-09-30,Outside
2009-09-29,3.0,2009-10-01,Downside
2009-09-29,4.0,2009-09-29,Upside
2009-09-29,5.0,2009-09-29,Upside
2009-10-06,1.0,2009-10-06,N/A
2009-10-06,2.0,2009-10-07,Outside
2009-10-06,3.0,2009-10-08,Upside
2009-10-06,4.0,2009-10-06,Outside
2009-10-06,5.0,2009-10-06,Outside
2009-10-13,1.0,2009-10-13,N/A
2009-10-13,2.0,2009-10-14,Upside
2009-10-13,3.0,2009-10-15,Upside
2009-10-13,4.0,2009-10-13,Upside
2009-10-13,5.0,2009-10-13,Outside
2009-10-20,1.0,2009-10-20,N/A
2009-10-20,2.0,2009-10-21,Upside
2009-10-20,3.0,2009-10-22,Outside
2009-10-20,4.0,2009-10-20,Outside
2009-10-20,5.0,2009-10-20,Outside
2009-10-27,1.0,2009-10-27,N/A
2009-10-27,2.0,2009-10-28,Downside
2009-10-27,3.0,2009-10-29,Upside
2009-10-27,4.0,2009-10-27,Outside
2009-10-27,5.0,2009-10-27,Downside
2009-11-03,1.0,2009-11-03,N/A
2009-11-03,2.0,2009-11-04,Outside
2009-11-03,3.0,2009-11-05,Downside
2009-11-03,4.0,2009-11-03,Upside
2009-11-03,5.0,2009-11-03,Upside
2009-11-10,1.0,2009-11-10,N/A
2009-11-10,2.0,2009-11-11,Downside
2009-11-10,3.0,2009-11-12,Downside
2009-11-10,4.0,2009-11-10,Outside
2009-11-10,5.0,2009-11-10,Undefined
2009-11-17,1.0,2009-11-17,N/A
2009-11-17,2.0,2009-11-18,Outside
2009-11-17,3.0,2009-11-19,Downside
2009-11-17,4.0,2009-11-17,Outside
2009-11-17,5.0,2009-11-17,Outside
2009-11-24,1.0,2009-11-24,N/A
2009-11-24,2.0,2009-11-25,Outside
2009-11-24,3.0,2009-11-26,Downside
2009-11-24,4.0,2009-11-24,Downside
2009-11-24,5.0,2009-11-24,Outside
2009-12-01,1.0,2009-12-01,N/A
2009-12-01,2.0,2009-12-02,Downside
2009-12-01,3.0,2009-12-03,Downside
2009-12-01,4.0,2009-12-01,Undefined
2009-12-01,5.0,2009-12-01,Downside
2009-12-08,1.0,2009-12-08,N/A
2009-12-08,2.0,2009-12-09,Downside
2009-12-08,3.0,2009-12-10,Outside
2009-12-08,4.0,2009-12-08,Downside
2009-12-08,5.0,2009-12-08,Outside
2009-12-15,1.0,2009-12-15,N/A
2009-12-15,2.0,2009-12-16,Upside
2009-12-15,3.0,2009-12-17,Outside
2009-12-15,4.0,2009-12-15,Upside
2009-12-15,5.0,2009-12-15,Outside
2009-12-22,1.0,2009-12-22,N/A
2009-12-22,2.0,2009-12-23,Upside
2009-12-22,3.0,2009-12-24,Upside
2009-12-22,4.0,2009-12-22,Upside
2009-12-22,5.0,2009-12-22,Undefined
2009-12-29,1.0,2009-12-29,N/A
2009-12-29,2.0,2009-12-30,Outside
2009-12-29,3.0,2009-12-31,Undefined
2009-12-29,4.0,2009-12-29,Upside
2009-12-29,5.0,2009-12-29,Undefined
2010-01-05,1.0,2010-01-05,N/A
2010-01-05,2.0,2010-01-06,Outside
2010-01-05,3.0,2010-01-07,Outside
2010-01-05,4.0,2010-01-05,Upside
2010-01-05,5.0,2010-01-05,Undefined
2010-01-12,1.0,2010-01-12,N/A
2010-01-12,2.0,2010-01-13,Outside
2010-01-12,3.0,2010-01-14,Downside
2010-01-12,4.0,2010-01-12,Downside
2010-01-12,5.0,2010-01-12,Undefined
2010-01-19,1.0,2010-01-19,N/A
2010-01-19,2.0,2010-01-20,Downside
2010-01-19,3.0,2010-01-21,Outside
2010-01-19,4.0,2010-01-19,Downside
2010-01-19,5.0,2010-01-19,Undefined
2010-01-26,1.0,2010-01-26,N/A
2010-01-26,2.0,2010-01-27,Downside
2010-01-26,3.0,2010-01-28,Outside
2010-01-26,4.0,2010-01-26,Downside
2010-01-26,5.0,2010-01-26,Outside
2010-02-02,1.0,2010-02-02,N/A
2010-02-02,2.0,2010-02-03,Downside
2010-02-02,3.0,2010-02-04,Downside
2010-02-02,4.0,2010-02-02,Outside
2010-02-02,5.0,2010-02-02,Undefined
2010-02-09,1.0,2010-02-09,N/A
2010-02-09,2.0,2010-02-10,Outside
2010-02-09,3.0,2010-02-11,Outside
2010-02-09,4.0,2010-02-09,Upside
2010-02-09,5.0,2010-02-09,Outside
2010-02-16,1.0,2010-02-16,N/A
2010-02-16,2.0,2010-02-17,Downside
2010-02-16,3.0,2010-02-18,Upside
2010-02-16,4.0,2010-02-16,Upside
2010-02-16,5.0,2010-02-16,Outside
2010-02-23,1.0,2010-02-23,N/A
2010-02-23,2.0,2010-02-24,Upside
2010-02-23,3.0,2010-02-25,Downside
2010-02-23,4.0,2010-02-23,Outside
2010-02-23,5.0,2010-02-23,Outside
2010-03-02,1.0,2010-03-02,N/A
2010-03-02,2.0,2010-03-03,Outside
2010-03-02,3.0,2010-03-04,Outside
2010-03-02,4.0,2010-03-02,Upside
2010-03-02,5.0,2010-03-02,Undefined
2010-03-09,1.0,2010-03-09,N/A
2010-03-09,2.0,2010-03-10,Outside
2010-03-09,3.0,2010-03-11,Upside
2010-03-09,4.0,2010-03-09,Upside
2010-03-09,5.0,2010-03-09,Outside
2010-03-16,1.0,2010-03-16,N/A
2010-03-16,2.0,2010-03-17,Outside
2010-03-16,3.0,2010-03-18,Downside
2010-03-16,4.0,2010-03-16,Outside
2010-03-16,5.0,2010-03-16,Outside
2010-03-23,1.0,2010-03-23,N/A
2010-03-23,2.0,2010-03-24,Downside
2010-03-23,3.0,2010-03-25,Outside
2010-03-23,4.0,2010-03-23,Downside
2010-03-23,5.0,2010-03-23,Undefined
2010-03-30,1.0,2010-03-30,N/A
2010-03-30,2.0,2010-03-31,Outside
2010-03-30,3.0,2010-04-01,Upside
2010-03-30,4.0,2010-03-30,Upside
2010-03-30,5.0,2010-03-30,Undefined
2010-04-06,1.0,2010-04-06,N/A
2010-04-06,2.0,2010-04-07,Downside
2010-04-06,3.0,2010-04-08,Outside
2010-04-06,4.0,2010-04-06,Downside
2010-04-06,5.0,2010-04-06,Undefined
2010-04-13,1.0,2010-04-13,N/A
2010-04-13,2.0,2010-04-14,Upside
2010-04-13,3.0,2010-04-15,Outside
2010-04-13,4.0,2010-04-13,Outside
2010-04-13,5.0,2010-04-13,Outside
2010-04-20,1.0,2010-04-20,N/A
2010-04-20,2.0,2010-04-21,Downside
2010-04-20,3.0,2010-04-22,Outside
2010-04-20,4.0,2010-04-20,Outside
2010-04-20,5.0,2010-04-20,Undefined
2010-04-27,1.0,2010-04-27,N/A
2010-04-27,2.0,2010-04-28,Upside
2010-04-27,3.0,2010-04-29,Upside
2010-04-27,4.0,2010-04-27,Outside
2010-04-27,5.0,2010-04-27,Undefined
2010-05-04,1.0,2010-05-04,N/A
2010-05-04,2.0,2010-05-05,Downside
2010-05-04,3.0,2010-05-06,Downside
2010-05-04,4.0,2010-05-04,Downside
2010-05-04,5.0,2010-05-04,Outside
2010-05-11,1.0,2010-05-11,N/A
2010-05-11,2.0,2010-05-12,Outside
2010-05-11,3.0,2010-05-13,Outside
2010-05-11,4.0,2010-05-11,Outside
2010-05-11,5.0,2010-05-11,Downside
2010-05-18,1.0,2010-05-18,N/A
2010-05-18,2.0,2010-05-19,Outside
2010-05-18,3.0,2010-05-20,Downside
2010-05-18,4.0,2010-05-18,Downside
2010-05-18,5.0,2010-05-18,Undefined
2010-05-25,1.0,2010-05-25,N/A
2010-05-25,2.0,2010-05-26,Upside
2010-05-25,3.0,2010-05-27,Upside
2010-05-25,4.0,2010-05-25,Upside
2010-05-25,5.0,2010-05-25,Undefined
2010-06-01,1.0,2010-06-01,N/A
2010-06-01,2.0,2010-06-02,Upside
